Country,case,death,tx,trans,IDH,,,,
Benin,35,1,0.028571429,Sporadic cases,0.48,,,,
United Republic of Tanzania,32,3,0.09375,Sporadic cases,0.521,,,,
Haiti,31,2,0.064516129,Community transmission,0.483,,,,
Libya,25,1,0.04,Clusters of cases,0.724,,,,
Syrian Arab Republic,25,2,0.08,Community transmission,0.594,,,,
Antigua and Barbuda ,21,2,0.095238095,Clusters,0.783,,,,
Maldives,20,0,0,Sporadic cases,0.706,,,,
Mozambique,20,0,0,Sporadic cases,0.416,,,,
Angola,19,2,0.105263158,Sporadic cases,0.532,,,,
Lao People's Democratic Republic,19,0,0,Sporadic cases,0.575,,,,
Sudan,19,2,0.105263158,Sporadic cases,0.479,,,,
Chad,18,0,0,Sporadic cases,0.392,,,,
Dominica,16,0,0,Clusters of cases,0.724,,,,
Fiji,16,0,0,Sporadic cases,0.727,,,,
Mongolia,16,0,0,Sporadic cases,0.727,,,,
Namibia,16,0,0,Sporadic cases,0.628,,,,
Zimbabwe,14,3,0.214285714,Sporadic cases,0.509,,,,
Belize,13,2,0.153846154,Sporadic cases,0.715,,,,0.844
Botswana,13,1,0.076923077,Sporadic cases,0.698,,,,0.880
Nepal,12,0,0,Sporadic cases,0.548,,,,
Saint Vincent and the Grenadines,12,0,0,Sporadic cases,0.72,,,,
Seychelles,11,0,0,Sporadic cases,0.772,,,,
Sierra Leone,10,0,0,Sporadic cases,0.413,,,,
Gambia,9,1,0.111111111,Sporadic cases,0.441,,,,
Nicaragua,9,1,0.111111111,Pending,0.631,,,,
Cabo Verde,7,1,0.142857143,Sporadic cases,0.646,,,,
Burundi,5,0,0,Sporadic cases,0.4,,,,
South Sudan,4,0,0,Pending,0.467,,,,
Papua New Guinea,2,0,0,Sporadic cases,0.505,,,,
Timor-Leste,2,0,0,Sporadic cases,0.595,,,,
